countryProfile,topicId,topicName,tableId,tableName,seriesCode,hub,seriesDesc,units,multiplier,baseYear,multiplierDesc,personnelTypeCode,personnelTypeDesc,activityCode,activityDesc,speciesCode,speciesDesc,ODACode,ODADesc,urbanizationCode,urbanizationDesc,ageCode,ageDesc,sexCode,sexDesc,educationLevCode,educationLevDesc,Country_profiles,FactName,Theme,Units
,13,Environment,84,Water supply and sanitation services,SYB085,a5a5fa906d2143919125fe9cbd1c669f,Proportion of population with access to safely managed drinking water sources,Percent,0,,,,,,,,,,,R,Rural,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB085,a5a5fa906d2143919125fe9cbd1c669f,Proportion of population with access to safely managed drinking water sources,Percent,0,,,,,,,,,,,U,Urban,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB086,8bd9d377cbec4f948ce64c2e3debde30,Proportion of population with access to safely managed sanitation facilities,Percent,0,,,,,,,,,,,_T,Total,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB086,8bd9d377cbec4f948ce64c2e3debde30,Proportion of population with access to safely managed sanitation facilities,Percent,0,,,,,,,,,,,R,Rural,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB086,8bd9d377cbec4f948ce64c2e3debde30,Proportion of population with access to safely managed sanitation facilities,Percent,0,,,,,,,,,,,U,Urban,,,,,,,,,,
,2,Population and migration,89,"Population, density and surface area",SYB088,566287a1c8f442b389bcef3b2e9454d4,Population density,,0,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,89,"Population, density and surface area",SYB089,7e77f35a3ebb49c29d9fc8c10f825f33,Population mid-year estimates,Number,6,,,,,,,,,,,,,,,F,Female,,,,,,
,2,Population and migration,89,"Population, density and surface area",SYB089,7e77f35a3ebb49c29d9fc8c10f825f33,Population mid-year estimates,Number,6,,,,,,,,,,,,,,,M,Male,,,,,,
,2,Population and migration,89,"Population, density and surface area",SYB090,1e28bd6f12a942deb823d4cf809b6756,Sex ratio (males per 100 females),Percent,0,,,,,,,,,,,,,,,,,,,,,,
,8,Labour market,94,Labour force participation and unemployment,SYB092,646314aeef1b42bc9de3a49902eb5d98,Labour force participation,Percent,0,,,,,,,,,,,,,,,F,Female,,,,,,
,8,Labour market,94,Labour force participation and unemployment,SYB092,646314aeef1b42bc9de3a49902eb5d98,Labour force participation,Percent,0,,,,,,,,,,,,,,,M,Male,,,,,,
,8,Labour market,94,Labour force participation and unemployment,SYB093,4a000e35f2fb4699a79729f50a189b20,Unemployment rate,Percent,0,,,,,,,,,,,,,,,F,Female,,,,,,
,8,Labour market,94,Labour force participation and unemployment,SYB093,4a000e35f2fb4699a79729f50a189b20,Unemployment rate,Percent,0,,,,,,,,,,,,,,,M,Male,,,,,,
,9,Price and production indices,98,Consumer Price Index,SYB094,d0ed6d76f6df4b58855d99661319b0f0,Consumer Price index: food,Index,0,,,,,,,,,,,,,,,,,,,,,,
,9,Price and production indices,98,Consumer Price Index,SYB095,a27b203621164e85857ffc85a5392703,Consumer Price index: general,Index,0,,,,,,,,,,,,,,,,,,,,,,
,19,Development assistance,103,Net disbursements of official development assistance from donors,SYB096,79dc5d6c0e424fb2bcb19ec77a742e07,Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI,Percent of GNI,0,,,,,,,,,,,,,,,,,,,,,,
,19,Development assistance,103,Net disbursements of official development assistance from donors,SYB097,8065c12d5211488c8641024ba14688f1,Net disbursements of official development assistance to developing countries and multilateral organizations,US dollars,6,,,,,,,,,,,,,,,,,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB098,4294a38ad217408b9c426d923359875c,Assault rate,"Incidents per 100,000 population",0,,,,,,,,,,,,,,,,,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB099,09f5f5b86d41446dae119948a3974cfd,Intentional homicide rate,"Incidents per 100,000 population",0,,,,,,,,,,,,,,,,,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB100,2f2aa9381c5b4e93984c31b38f56d785,National kidnapping rate,"Incidents per 100,000 population",0,,,,,,,,,,,,,,,,,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB101,b31ac79e3dc44162a9942a4d4bcb1183,Distribution of intentional homicide victims by sex,Percent,0,,,,,,,,,,,,,,,F,Female,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB101,b31ac79e3dc44162a9942a4d4bcb1183,Distribution of intentional homicide victims by sex,Percent,0,,,,,,,,,,,,,,,M,Male,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB102,04047e5125f84d8c98aa50821ea64767,National robbery rate,"Incidents per 100,000 population",0,,,,,,,,,,,,,,,,,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB103,e64a546a527f4ecc96313cf0b4b8f792,National theft rate,"Incidents per 100,000 population",0,,,,,,,,,,,,,,,,,,,,,,
,11,Crime,104,Intentional homicides and other crimes,SYB104,cfa16e075f8a4886b799f67a2cfba067,Total national sexual violence rate,"Incidents per 100,000 population",0,,,,,,,,,,,,,,,,,,,,,,
,5,Communication,106,Internet Usage,SYB105,16d3087c8d544007ac1aa01c2c755c42,Percentage of individuals using the internet,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,5,Communication,107,Cellular mobile telephone subscriptions,SYB106,,Cellular mobile telephone subscriptions,Number,0,,,,,,,,,,,,,,,,,,,,,,
,5,Communication,107,Cellular mobile telephone subscriptions,SYB107,,Cellular mobile telephone subscriptions per 100 inhabitants,Subscriptions per 100 inhabitants,0,,,,,,,,,,,,,,,,,,,,,,
,3,Education,109,Public expenditure on education,SYB108,7a57cd1c85464609ab8af5ce418cdf03,Public expenditure in education as percent of total expenditure in public institutions: staff compensation,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,3,Education,109,Public expenditure on education,SYB109,49f827b7121940cf8a472e62f6612048,Public expenditure in education as percent of total expenditure in public institutions: capital expenditure,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,3,Education,109,Public expenditure on education,SYB110,5f92a363a2a94684bd0c89361ba52ce9,Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,3,Education,109,Public expenditure on education,SYB111,f1c6471ca64b4740bc3f9046073381ef,Public expenditure in education as percent of government expenditure,Percent,0,,,,,,,,,,,,,,,,,_T,Total or no breakdown by education level,,,,
,3,Education,109,Public expenditure on education,SYB111,f1c6471ca64b4740bc3f9046073381ef,Public expenditure in education as percent of government expenditure,Percent,0,,,,,,,,,,,,,,,,,AGG_2_3,Secondary education (lower and upper secondary education),,,,
,3,Education,109,Public expenditure on education,SYB111,f1c6471ca64b4740bc3f9046073381ef,Public expenditure in education as percent of government expenditure,Percent,0,,,,,,,,,,,,,,,,,AGG_5T8,Tertiary education,,,,
,3,Education,109,Public expenditure on education,SYB111,f1c6471ca64b4740bc3f9046073381ef,Public expenditure in education as percent of government expenditure,Percent,0,,,,,,,,,,,,,,,,,ISCED11_02,Pre-primary education,,,,
,3,Education,109,Public expenditure on education,SYB111,f1c6471ca64b4740bc3f9046073381ef,Public expenditure in education as percent of government expenditure,Percent,0,,,,,,,,,,,,,,,,,ISCED11_1,Primary education,,,,
,3,Education,109,Public expenditure on education,SYB112,e3d44eb52a9d495c821786cfc5723681,Public expenditure in education as percent of GDP,Percent,0,,,,,,,,,,,,,,,,,_T,Total or no breakdown by education level,,,,
,4,Gender,115,"Ratio of girls to boys in primary, secondary and tertiary education",SYB113,5ab360904e1d44c88a11240eaaf76843,Gender parity ratio in education,Girls to boys ratio,0,,,,,,,,,,,,,,,,,AGG_2_3,Secondary education (lower and upper secondary education),,,,
,4,Gender,115,"Ratio of girls to boys in primary, secondary and tertiary education",SYB113,5ab360904e1d44c88a11240eaaf76843,Gender parity ratio in education,Girls to boys ratio,0,,,,,,,,,,,,,,,,,AGG_5T8,Tertiary education,,,,
,4,Gender,115,"Ratio of girls to boys in primary, secondary and tertiary education",SYB113,5ab360904e1d44c88a11240eaaf76843,Gender parity ratio in education,Girls to boys ratio,0,,,,,,,,,,,,,,,,,ISCED11_1,Primary education,,,,
,16,International tourism and transport,116,Tourist/visitor arrivals and tourism expenditure,SYB115,4c2c3e6e76de44078804d07868347973,Tourist/visitor arrivals,Number,3,,,,,,,,,,,,,,,,,,,,,,
,22,Health,117,Expenditure on health,SYB116,565037320392406681529c7afd3bbeb4,Current health expenditure as a percentage of GDP,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,22,Health,117,Expenditure on health,SYB117,79729a8c39d743c7bab4a10a842d4a12,Domestic general government health expenditure as a percent of government expenditure,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,4,Gender,134,Proportion of seats held by women in national parliament,SYB118,a4862bdf37334c79a9e3344f843ddac1,"Proportion of seats held by women in national parliament, as of February",Percent,0,,,,,,,,,,,,,,,,,,,,,,
,3,Education,135,"Teaching staff at the primary, secondary and tertiary levels",SYB119,c6fd3b6933f54d54af3bc10e344f3f70,Pupil-teacher ratio,Pupil to teacher ratio,0,,,,,,,,,,,,,,,,,AGG_2_3,Secondary education (lower and upper secondary education),,,,
,3,Education,135,"Teaching staff at the primary, secondary and tertiary levels",SYB119,c6fd3b6933f54d54af3bc10e344f3f70,Pupil-teacher ratio,Pupil to teacher ratio,0,,,,,,,,,,,,,,,,,AGG_5T8,Tertiary education,,,,
,3,Education,135,"Teaching staff at the primary, secondary and tertiary levels",SYB119,c6fd3b6933f54d54af3bc10e344f3f70,Pupil-teacher ratio,Pupil to teacher ratio,0,,,,,,,,,,,,,,,,,ISCED11_1,Primary education,,,,
,3,Education,135,"Teaching staff at the primary, secondary and tertiary levels",SYB120,e39123d0e03d4a5d8c29369e5ac2f732,Number of teachers,Number,0,,,,,,,,,,,,,,,,,AGG_2_3,Secondary education (lower and upper secondary education),,,,
,3,Education,135,"Teaching staff at the primary, secondary and tertiary levels",SYB120,e39123d0e03d4a5d8c29369e5ac2f732,Number of teachers,Number,0,,,,,,,,,,,,,,,,,AGG_5T8,Tertiary education,,,,
,3,Education,135,"Teaching staff at the primary, secondary and tertiary levels",SYB120,e39123d0e03d4a5d8c29369e5ac2f732,Number of teachers,Number,0,,,,,,,,,,,,,,,,,ISCED11_1,Primary education,,,,
,22,Health,151,Health Personnel,SYB121,46b0b285f2f5495d851cb23659ad0133,Health personnel,Number,0,,,,Dentists,,,,,,,,,,,,,,,,,,
,22,Health,151,Health Personnel,SYB121,46b0b285f2f5495d851cb23659ad0133,Health personnel,Number,0,,,,Nurses and midwives,,,,,,,,,,,,,,,,,,
,22,Health,151,Health Personnel,SYB121,46b0b285f2f5495d851cb23659ad0133,Health personnel,Number,0,,,,Pharmacists,,,,,,,,,,,,,,,,,,
,22,Health,151,Health Personnel,SYB121,46b0b285f2f5495d851cb23659ad0133,Health personnel,Number,0,,,,Physicians,,,,,,,,,,,,,,,,,,
,22,Health,151,Health Personnel,SYB122,6ab9cedce0e5488bba16195f651edd5e,Health personnel per 1000 population,Number per 1000 population,0,,,,Dentists,,,,,,,,,,,,,,,,,,
,22,Health,151,Health Personnel,SYB122,6ab9cedce0e5488bba16195f651edd5e,Health personnel per 1000 population,Number per 1000 population,0,,,,Nurses and midwives,,,,,,,,,,,,,,,,,,
,22,Health,151,Health Personnel,SYB122,6ab9cedce0e5488bba16195f651edd5e,Health personnel per 1000 population,Number per 1000 population,0,,,,Pharmacists,,,,,,,,,,,,,,,,,,
,22,Health,151,Health Personnel,SYB122,6ab9cedce0e5488bba16195f651edd5e,Health personnel per 1000 population,Number per 1000 population,0,,,,Physicians,,,,,,,,,,,,,,,,,,
,13,Environment,152,CO2 emission estimates,SYB123,d3581d327da343e8bfd54e32b41ac565,Carbon dioxide emissions,Metric tons,3,,,,,,,,,,,,,,,,,,,,,,
,13,Environment,152,CO2 emission estimates,SYB124,f3014b6e5da449cbb2ddee83cb8b0080,Carbon dioxide emissions per capita,Metric tons per capita,0,,,,,,,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_ELEC_GAS_WATER,"Electricity, gas and water",,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_MANUFACTURING,Manufacturing,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_MINING,Mining,,,,,,,,,,,,,,,,
,9,Price and production indices,32,Agricultural production indices,SYB028,b980c23d110d443f82c8bfbf2d8a13e7,Index of agricultural production,Index,0,2004-2006 = 100,,,,,,,,,,,,,,,,,,,,,
