series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	modeOfTransportation_code	modeOfTransportation_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	156	China	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	1,305,450,549,030			4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	16	American Samoa	10.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	10,000,660			4	61	Polynesia	Country	-170.7187269	-14.30587306	ASM	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	16	American Samoa	468.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	468,105,021			4	61	Polynesia	Country	-170.7187269	-14.30587306	ASM	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	162	Christmas Island	0.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017				4	53	Australia and New Zealand	Country	105.6426067	-10.4882473	CXR	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	162	Christmas Island	0.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017				4	53	Australia and New Zealand	Country	105.6426067	-10.4882473	CXR	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	166	Cocos (Keeling) Islands	0.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017				4	53	Australia and New Zealand	Country	96.82633757	-12.18600682	CCK	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	166	Cocos (Keeling) Islands	0.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017				4	53	Australia and New Zealand	Country	96.82633757	-12.18600682	CCK	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	17	Middle Africa	203.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	203,939,113,655			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	17	Middle Africa	5.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	5,903,089,877			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	17	Middle Africa	115.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	115,042,131			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	170	Colombia	496.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	496,134,754			5	5	South America	Country	-73.07446751	3.888209046	COL	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	170	Colombia	157.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	157,630,276,823			5	5	South America	Country	-73.07446751	3.888209046	COL	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	174	Comoros	557.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	557,044,451			5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	174	Comoros	30.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	30,364			5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	175	Mayotte	66.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	66,099			5	14	Eastern Africa	Country	45.14015057	-12.82217691	MYT	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	175	Mayotte	51.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	51,347,179			5	14	Eastern Africa	Country	45.14015057	-12.82217691	MYT	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	178	Congo	10.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	10,996,508,745			5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	178	Congo	932.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	932,965			5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	18	Southern Africa	12.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	12,622,636,924			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	18	Southern Africa	34.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	34,854,559,058			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	18	Southern Africa	304.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	304,517,958,299			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	180	Democratic Republic of the Congo	67.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	67,860,194,308			5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	180	Democratic Republic of the Congo	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	1,842,819			5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1
