series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2007	2016	10	NUMBER	Number	G	Global					689.0	692.0	733.0	651.0	672.0	626.0	603.0	583.0	470.0	536.0		536.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	28	Antigua and Barbuda	5	29	Caribbean	Country	-61.7999755	17.07761471	ATG	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2014, 2015]	2014	2015	2	NUMBER	Number	G	Global												7.0	8.0			8.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010]	2007	2010	4	NUMBER	Number	G	Global					27.0	36.0	36.0	284.0								284.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	11	NUMBER	Number	G	Global					99.0	76.0	121.0	92.0	97.0	109.0	102.0	78.0	57.0	62.0	26.0	26.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2006	2016	11	NUMBER	Number	G	Global				86.0	101.0	78.0	91.0	34.0	29.0	53.0	56.0	54.0	48.0	70.0		70.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	NUMBER	Number	G	Global			30.0	63.0	79.0	186.0	422.0	263.0	150.0	303.0	374.0	375.0	243.0	414.0	97.0	97.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017]	2008	2017	9	NUMBER	Number	G	Global						7.0	17.0	14.0	57.0	192.0	234.0	273.0		484.0	333.0	333.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	324	Guinea	5	11	Western Africa	Country	-11.28173419	11.00210343	GIN	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2013, 2014, 2015, 2016, 2017]	2013	2017	5	NUMBER	Number	G	Global											16.0	22.0	20.0	25.0	30.0	30.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	328	Guyana	5	5	South America	Country	-58.97322037	4.788012784	GUY	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017]	2007	2017	10	NUMBER	Number	G	Global					5.0	1.0	6.0	3.0	17.0		20.0	40.0	59.0	98.0	110.0	110.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	340	Honduras	5	13	Central America	Country	-86.59974381	14.82243161	HND	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6	NUMBER	Number	G	Global										16.0	70.0	7.0	59.0	83.0	47.0	47.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
