series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2010	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_LND_FRSTN	Forest area (thousands of hectares)	21	Northern America	3	19	Americas	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	651340.86	656044.87	657213.26	657173.57	656836.56	656799.55	656762.54	656725.54	656725.54			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTN	Forest area (thousands of hectares)	212	Dominica	5	29	Caribbean	Country	-61.3493756	15.43391378	DMA	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	47.87	47.87	47.87	47.87	47.87	47.87	47.87	47.87	47.87			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	1972.47	2073.12	2103.65	2111.74	2119.83	2127.92	2136.01	2144.1	2144.1			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	13730.5	13028.19	12819.18	12754.91	12690.64	12626.37	12562.1	12497.83	12497.83			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	673.88	628.88	606.38	601.88	597.38	592.88	588.38	583.88	583.88			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	2615.58	2532.01	2490.22	2481.86	2473.5	2465.14	2456.78	2448.42	2448.42			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	18528.5	17798.5	17433.5	17360.5	17287.5	17214.5	17141.5	17068.5	17068.5			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	1118.46	1086.86	1071.06	1067.9	1064.74	1061.58	1058.42	1055.26	1055.26			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	2238.89	2336.02	2421.01	2421.25	2438.4	2438.4	2438.4	2438.4	2438.4			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	234	Faroe Islands	4	154	Northern Europe	Country	-7.122044325	62.21228119	FRO	0	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	238	Falkland Islands (Malvinas)	5	5	South America	Country	-58.75246778	-51.74562601	FLK	0	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data
