series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	686	Senegal	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	11	Western Africa	Country	-14.46636926	14.35920905	SEN	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	694	Sierra Leone	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	11	Western Africa	Country	-11.78306584	8.568604164	SLE	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	703	Slovakia	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	151	Eastern Europe	Country	19.48495604	48.70741446	SVK	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	704	Viet Nam	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	35	South-Eastern Asia	Country	105.802499	10.09643079	VNM	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	716	Zimbabwe	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	14	Eastern Africa	Country	29.86909584	-19.00075492	ZWE	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	724	Spain	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	39	Southern Europe	Country	-3.554078296	40.39211472	ESP	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	729	Sudan	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	15	Northern Africa	Country	29.95650159	16.02643066	SDN	0	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	752	Sweden	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	154	Northern Europe	Country	14.3775338	60.60103109	SWE	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	756	Switzerland	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	155	Western Europe	Country	8.223158	46.96617097	CHE	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	764	Thailand	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	35	South-Eastern Asia	Country	101.0202951	15.13089239	THA	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	784	United Arab Emirates	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	145	Western Asia	Country	53.98279159	23.43322219	ARE	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	800	Uganda	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	14	Eastern Africa	Country	32.39100438	1.279557331	UGA	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	818	Egypt	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	15	Northern Africa	Country	29.77468534	26.57438204	EGY	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	882	Samoa	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	61	Polynesia	Country	-172.4430749	-13.61541469	WSM	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	887	Yemen	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	145	Western Asia	Country	45.22389143	15.22242099	YEM	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	90	Solomon Islands	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	54	Melanesia	Country	160.1584117	-9.622391719	SLB	1	1
