series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	56	Belgium	4	155	Western Europe	Country	4.660976456	50.64104975	BEL	1	1			2019	96.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 74 local breeds, 35% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	562	Niger	5	11	Western Africa	Country	9.400167877	17.42143036	NER	1	1			2019	15.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 24 local breeds, 46% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	578	Norway	4	154	Northern Europe	Country	11.47846389	61.34311134	NOR	1	1			2019	89.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 50 local breeds, 6% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	591	Panama	5	13	Central America	Country	-81.26616623	8.450965746	PAN	1	1			2019	86.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 7 local breeds, 0% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	600	Paraguay	5	5	South America	Country	-60.54854225	-21.70216237	PRY	1	1			2019	100.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 18 local breeds, 83% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	604	Peru	5	5	South America	Country	-71.82093277	-13.58939705	PER	1	1			2019	80.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 34 local breeds, 85% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	608	Philippines	4	35	South-Eastern Asia	Country	120.8601418	14.16591706	PHL	1	1			2019	50.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 52 local breeds, 92% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	616	Poland	4	151	Eastern Europe	Country	19.40660158	52.1226733	POL	1	1			2019	87.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 135 local breeds, 10% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	620	Portugal	4	39	Southern Europe	Country	-7.961599811	39.68509315	PRT	1	1			2019	63.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 50 local breeds, 2% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	64	Bhutan	4	34	Southern Asia	Country	90.45098484	27.39598568	BTN	1	1			2019	52.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 25 local breeds, 0% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	68	Bolivia (Plurinational State of)	5	5	South America	Country	-64.66224284	-16.71273412	BOL	1	1			2019	0.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 26 local breeds, 96% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	686	Senegal	5	11	Western Africa	Country	-14.46636926	14.35920905	SEN	1	1			2019	27.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 16 local breeds, 31% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	688	Serbia	4	39	Southern Europe	Country	20.805876	44.03145697	SRB	1	1			2019	94.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 28 local breeds, 36% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	703	Slovakia	4	151	Eastern Europe	Country	19.48495604	48.70741446	SVK	1	1			2019	89.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 25 local breeds, 24% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	704	Viet Nam	4	35	South-Eastern Asia	Country	105.802499	10.09643079	VNM	1	1			2019	21.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 63 local breeds, 56% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	705	Slovenia	4	39	Southern Europe	Country	14.82209486	46.11958061	SVN	1	1			2019	97.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 63 local breeds, 52% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	710	South Africa	5	18	Southern Africa	Country	24.67184355	-29.99957544	ZAF	1	1			2019	75.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 68 local breeds, 88% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	72	Botswana	5	18	Southern Africa	Country	23.81380223	-22.18810073	BWA	1	1			2019	75.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 9 local breeds, 56% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	724	Spain	4	39	Southern Europe	Country	-3.554078296	40.39211472	ESP	1	1			2019	66.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 212 local breeds, 25% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
